procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,Burj Views Tower C,1451.0,BURJ VIEWS,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,120.68,1.0,2.0,0.0,2015.0,6.0,22.0,9810.14,120.68
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,LAKE TERRACE,438.0,LAKE TERRACE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,69.41,1.0,1.0,0.0,2015.0,6.0,22.0,15919.9,69.41
Delayed Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,The Matrix,99.0,THE MATRIX,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,104.09,1.0,1.0,0.0,2015.0,6.0,22.0,12004.03,104.09
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,232,Mirdif,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,940.64,1.0,1.0,0.0,2002.0,5.0,22.0,699.66,940.64
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,434,Wadi Al Safa 6,Unknown,1046.0,Unknown,Arabian Ranches - 1,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,572.19,1.0,1.0,0.0,2019.0,6.0,24.0,4412.87,572.19
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,No.9,1394.0,NO 9,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,1 B/R,1,59.46,1.0,1.0,0.0,2024.0,7.0,16.0,29936.09,59.46
Sell,2,Building,60.0,Unknown,Commercial,1,Existing Properties,351,Al Thanyah Third,Unknown,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,Unknown,0,5136.89,1.0,1.0,0.0,2005.0,8.0,23.0,35040.66,2189.4440000000054
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,390,Burj Khalifa,City Center Residences,2359.0,City Center Residences,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,70.38,1.0,1.0,0.0,2015.0,6.0,22.0,27349.1,70.38
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,DANA 1,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,3 B/R,1,139.08,1.0,2.0,0.0,2015.0,6.0,22.0,5104.98,139.08
Sell,3,Unit,112.0,Hotel Rooms,Hospitality ,1,Existing Properties,330,Marsa Dubai,TFG MARINA,1318.0,TFG MARINA,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,Studio,1,15.47,1.0,1.0,0.0,2022.0,3.0,18.0,10610.86,30.606
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,BERMUDA VIEWS,616.0,BERMUDA VIEWS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,75.46,1.0,1.0,0.0,2010.0,4.0,27.0,7406.98,75.46
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,409,Al Barshaa South Third,BURJ VIEW RESIDENCE,1691.0,BURJ VIEW RESIDENCE,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,107.45,1.0,2.0,0.0,2025.0,11.0,20.0,11819.45,107.45
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,REEHAN 3,1046.0,Unknown,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,131.18,1.0,2.0,0.0,2023.0,11.0,16.0,19820.09,131.18
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Giovanni Boutique Suites,531.0,GIOVANNI BOUTIQUE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,35.39,1.0,1.0,0.0,2015.0,6.0,22.0,18615.48,35.39
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,186.52,1.0,1.0,0.0,2013.0,1.0,28.0,17639.08,186.52
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,371,Al Safouh Second,ICONIC,2865.0,ICONIC,Site A,Burj Al Arab,Dubai Internet City,Mall of the Emirates,3 B/R,1,222.66,1.0,1.0,0.0,2015.0,6.0,22.0,40131.91,222.66
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,IRIS BLUE,1046.0,Unknown,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,1 B/R,1,68.38,1.0,1.0,0.0,2015.0,6.0,22.0,14813.66,68.38
Lease to Own Registration,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,101.0,2.0,0.0,0.0,2016.0,3.0,30.0,11334.07,101.0
