procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,T-10,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,1.0,1.0,0.0,2015.0,6.0,22.0,5930.23,43.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,409,Al Barshaa South Third,AL MADAR SIRAJ TOWER,181.0,SIRAJ TOWER,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,38.6,1.0,1.0,0.0,2015.0,6.0,22.0,12694.3,38.6
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA CROWN TOWER,1046.0,Unknown,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,83.59,1.0,1.0,0.0,2015.0,6.0,22.0,5795.78,83.59
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,GLOBAL GOLF RESIDENCE 2,593.0,GLOBAL GOLF RESIDENCE 2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,63.95,1.0,1.0,0.0,2018.0,4.0,23.0,7810.79,63.95
Sell,4,Villa,60.0,Unknown,Commercial,1,Existing Properties,233,Hor Al Anz,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Abu Baker Al Siddique Metro Station,City Centre Mirdif,Unknown,0,97.55,2.0,1.0,0.0,2013.0,2.0,22.0,9738.6,97.55
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Sadaf 8,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,4 B/R,1,251.47,1.0,1.0,0.0,2015.0,6.0,22.0,10781.43,251.47
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,No.9,1394.0,NO 9,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,3 B/R,1,164.15,1.0,1.0,0.0,2015.0,6.0,22.0,22293.2,164.15
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,MOSELA,1457.0,MOSELA,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,70.98,1.0,1.0,0.0,2011.0,2.0,14.0,12424.46,70.98
Lease to Own Registration,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1033.0,Emirates Living - Springs 3,Springs - 6,Sports City Swimming Academy,Damac Properties,Marina Mall,2 B/R,0,172.52,2.0,2.0,4.0,2009.0,4.0,27.0,2764.25,172.52
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,393,Al Barsha Second,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,1393.55,1.0,1.0,0.0,2015.0,6.0,22.0,1184.03,1393.55
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,LINKS EAST T2,1046.0,Unknown,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,2 B/R,0,123.47,2.0,1.0,0.0,2015.0,6.0,22.0,14173.48,123.47
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,396,Al Khawaneej First,Unknown,1046.0,Unknown,Unknown,Unknown,Etisalat Metro Station,City Centre Mirdif,Unknown,0,1848.77,1.0,1.0,0.0,2004.0,9.0,20.0,538.2,1848.77
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 1,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2 B/R,1,120.81,1.0,1.0,0.0,2016.0,5.0,24.0,14071.68,120.81
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,32.2,1.0,1.0,0.0,2015.0,6.0,22.0,11024.84,32.2
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Q-05,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,69.0,2.0,1.0,0.0,2022.0,7.0,22.0,4289.86,69.0
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,276,Al Bada,Unknown,1046.0,Unknown,Unknown,Burj Khalifa,Emirates Towers Metro Station,Dubai Mall,Unknown,0,382.67,1.0,1.0,0.0,2013.0,5.0,16.0,5226.44,382.67
Sell,2,Building,60.0,Unknown,Residential,1,Existing Properties,306,Al Twar Fourth,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Etisalat Metro Station,City Centre Mirdif,Unknown,0,228.92,11.0,1.0,0.0,2020.0,11.0,30.0,2186.42,228.92
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Riviera Residence,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,2 B/R,1,67.72,1.0,1.0,0.0,2010.0,2.0,15.0,5674.84,67.72
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,AZURE,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,160.87,1.0,1.0,0.0,2023.0,3.0,31.0,13520.23,160.87
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Riviera Residence,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,2 B/R,1,60.95,1.0,1.0,0.0,2010.0,2.0,15.0,7465.14,60.95
